pickup_hour,total_trips,avg_passenger_count
0,688842,1.4656380586984672
1,439872,1.4752682518819458
2,287198,1.4763349806133503
3,183388,1.4769529525995242
4,132989,1.444141616566466
5,180635,1.3825780912058085
6,484047,1.341023586639184
7,890135,1.3412553069029596
8,1238847,1.3590931322688558
9,1403933,1.3730767634150116
10,1571355,1.3959015470262204
11,1722542,1.4064411572140958
12,1887345,1.4130095927263513
13,1938989,1.4181068725093138
14,2091387,1.426726405775244
15,2130110,1.4384568399221969
16,2054505,1.4391992408767693
17,2171586,1.431012383557217
18,2208574,1.4289817206526505
19,1930833,1.4436814279968404
20,1560310,1.4635963377556551
21,1414016,1.4819791501808275
22,1281126,1.481762713412671
23,1011733,1.4719743468476669